ID,GEN,PEN,MET,FUS,TEI,VAN,Ery,CLI,LIN,CIP,RIF,TET,TMP
14208_8#25,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#26,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#27,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#28,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#29,0,1,1,0,0,0,0,0,0,0,0,0,1
14208_8#3,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#30,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#31,0,1,1,1,0,0,1,0,0,0,0,0,0
14208_8#32,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#33,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#34,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#35,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#36,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#37,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#38,0,1,1,0,0,0,1,0,0,1,0,1,0
14208_8#39,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#4,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#40,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#41,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#42,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#43,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#44,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#45,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#46,0,1,1,0,0,0,0,0,0,0,0,0,0
14208_8#47,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#48,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#49,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#5,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#50,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#51,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#52,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#53,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#54,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#55,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#56,0,1,1,1,0,0,0,0,0,1,0,0,0
14208_8#57,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#58,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#59,0,1,1,1,0,0,0,0,0,1,0,0,0
14208_8#6,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#60,1,1,1,1,0,0,0,0,0,1,0,0,0
14208_8#61,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#62,0,1,1,0,0,0,0,0,0,0,0,0,0
14208_8#63,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#64,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#65,0,1,1,0,0,0,0,0,0,0,0,1,0
14208_8#66,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#67,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#68,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#69,0,1,1,0,0,0,0,0,0,0,0,0,0
14208_8#7,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#70,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#71,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#72,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#73,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#74,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#75,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#76,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#77,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#78,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#79,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#8,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#80,0,1,1,1,0,0,0,0,0,0,0,0,0
14208_8#81,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#82,0,1,1,0,0,0,1,0,0,0,0,0,0
14208_8#83,0,1,1,0,0,0,0,0,0,0,0,0,0
14208_8#84,0,1,1,1,0,0,1,1,0,1,0,0,0
14208_8#85,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#86,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#87,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#88,0,1,1,0,0,0,0,0,0,1,0,0,1
14208_8#89,0,1,1,0,0,0,0,0,0,0,0,0,1
14208_8#9,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#90,0,1,1,0,0,0,1,0,0,0,0,0,0
14323_1#1,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#10,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#11,0,1,1,0,0,0,0,0,0,1,0,0,1
14323_1#12,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#13,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#14,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#15,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#16,0,1,1,0,0,0,1,1,0,1,0,0,0
14323_1#17,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#18,0,1,1,1,0,0,0,0,0,0,0,1,0
14323_1#19,0,1,1,0,0,0,1,0,0,1,0,0,1
14323_1#2,0,1,1,1,0,0,0,0,0,0,0,0,0
14323_1#20,0,1,1,1,0,0,1,0,0,0,0,0,0
14323_1#21,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#22,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#23,0,1,1,1,0,0,1,0,0,1,0,0,0
14323_1#24,0,1,1,0,0,0,1,1,0,1,0,0,0
14323_1#25,0,1,1,0,0,0,0,0,0,0,0,0,0
14323_1#26,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#27,0,1,1,0,0,0,1,0,0,0,0,0,0
14323_1#28,0,1,1,1,0,0,1,0,0,1,0,1,0
14323_1#29,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#3,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#30,0,1,1,0,0,0,0,0,0,1,0,0,1
14323_1#31,0,1,1,0,0,0,1,0,0,1,0,0,1
14323_1#32,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#33,0,1,1,1,0,0,0,0,0,1,0,0,0
14323_1#34,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#35,0,1,1,0,0,0,1,1,0,1,0,0,0
14323_1#36,1,1,1,1,0,0,1,0,0,1,0,0,0
14323_1#37,0,1,1,0,0,0,1,0,0,1,0,0,0
14323_1#38,0,1,1,0,0,0,0,0,0,1,0,0,0
14323_1#39,0,1,1,1,0,0,1,0,0,0,0,1,0
14323_1#4,0,1,1,0,0,0,1,0,0,1,0,0,0
